Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
"Does ultrasound equally improve the quality of beef? An insight into longissimus lumborum, infraspinatus and cleidooccipitalis",https://pureportal.coventry.ac.uk/en/publications/does-ultrasound-equally-improve-the-quality-of-beef-an-insight-in,01-Feb-20,[],[]
,,,,
Do lower-limb kinematic and kinetic asymmetries transfer across sprint running and countermovement jumps in university rugby union players?,https://pureportal.coventry.ac.uk/en/publications/do-lower-limb-kinematic-and-kinetic-asymmetries-transfer-across-s,Sep-20,"['Wdowski, M.']",['https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski']
,,,,
Effects of exercise intensity on anticipation timing performance during a cycling task at moderate and vigorous intensities in children aged 7-11 years,https://pureportal.coventry.ac.uk/en/publications/effects-of-exercise-intensity-on-anticipation-timing-performance-,20-Apr-20,"['Duncan, M.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
First-Stance Phase Force Contributions to Acceleration Sprint Performance in Semi-Professional Soccer Players,https://pureportal.coventry.ac.uk/en/publications/first-stance-phase-force-contributions-to-acceleration-sprint-per,15-Mar-20,"['Wdowski, M.']",['https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski']
,,,,
Functional COL1A1 variants are associated with the risk of acute musculoskeletal soft tissue injuries,https://pureportal.coventry.ac.uk/en/publications/functional-col1a1-variants-are-associated-with-the-risk-of-acute-,01-Oct-20,"['Raleigh, S. M.']",['https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh']
,,,,
